Topic,Therapy group,Therapy,Trial,Year,Journal,Problem,Format,Treatment,Control,Population,Follow-up,Primary endpoint,Brief summary:
Acute coronary syndromes,ACE inhibitors,Captopril,ISIS-4,1995,Lancet. 1995 Mar 18;345(8951):669-85.,Suspected acute MI,Double-blinded multi-center RCT,Oral ISMN (MR) OR oral captopril OR IV magnesium,Standard therapy,58050,5 weeks,5-week mortality,"Captopril shows benefit post-MI within 5 weeks, no nitrate/magnesium benefit"
Acute coronary syndromes,ACE inhibitors,Lisinopril,GISSI-3,1994,Lancet. 1994 May 7;343(8906):1115-22.,AMI and preserved LVEF,"Multicenter, open label, 2x2 factorial design, randomized trial",Lisinopril OR GTN (IV->PO) OR both,Placebo,19394,6 months,Mortality at 6 weeks; Composite of (death CHF LVEF >35% < 45% akinesis/dyskinesis),Lisinopril reduced mortality within 24h of AMI. No benefit from GTN.
Acute coronary syndromes,Aldosterone antagonists,Eplerenone,EPHESUS,2003,N Engl J Med. 2003 Apr 3;348(14):1309-21.,LV dysfunction post-MI,Double-blinded multi-center RCT,Eplerenone,Placebo,6452,16 months,Time to death from any cause,First trial to show benefits of aldosterone antagonists after acute MI with CCF
Acute coronary syndromes,Anti-platelet therapy,Aspirin,ISIS-2,1988,Lancet. 1988 Aug 13;2(8607):349-60.,Suspected acute MI,"Multicenter, double-blinded, two-by-two factorial, randomized, placebo-controlled trial",Streptokinase OR Aspirin OR Both,Placebo,17187,10 years (in most recent paper),Vascular mortality at 5 weeks,Early evidence for aspirin and thrombolysis
Acute coronary syndromes,Anti-platelet therapy,Aspirin,CURRENT-OASIS-7,,,,,,,,,,
Acute coronary syndromes,Anti-platelet therapy,Clopidogrel,CURE,,,,,,,,,,
Acute coronary syndromes,Anti-platelet therapy,Clopidogrel,COMMIT,,,,,,,,,,
Acute coronary syndromes,Anti-platelet therapy,Clopidogrel,CURRENT-OASIS-7,,,,,,,,,,
Acute coronary syndromes,Anti-platelet therapy,Prasugrel,TRITON-TIMI-38,,,,,,,,,,
Acute coronary syndromes,Anti-platelet therapy,Prasugrel,ÊTRILOGY-ACS,,,,,,,,,,
Acute coronary syndromes,Anti-platelet therapy,Ticagrelor,PLATO,,,,,,,,,,
Acute coronary syndromes,Beta-blockers,Atenolol,ISIS-1,,,,,,,,,,
Acute coronary syndromes,Beta-blockers,Metoprolol,COMMIT,,,,,,,,,,
Acute coronary syndromes,Diabetic control,Insulin,DIGAMI,,,,,,,,,,
Acute coronary syndromes,Diabetic control,Insulin,DIGAMI-2,,,,,,,,,,
Acute coronary syndromes,Glycoprotein IIbIIIa inhibitors,In PCI,CADILLAC,,,,,,,,,,
Acute coronary syndromes,Glycoprotein IIbIIIa inhibitors,In PCI,HORIZONS-AMI,,,,,,,,,,
Acute coronary syndromes,Heparinoids,Fondaparinux,OASIS-6,,,,,,,,,,
Acute coronary syndromes,Heparinoids,Fondaparinux,OASIS-5,,,,,,,,,,
Acute coronary syndromes,Heparin infusion,Heparin infusion,"ISIS-3,",,,,,,,,,,
Acute coronary syndromes,Heparin infusion,Heparin infusion,OASIS-6,,,,,,,,,,
Acute coronary syndromes,Hirudin & Direct Thrombin Inhibitors,Bivalirudin,HORIZONS-AMI,,,,,,,,,,
Acute coronary syndromes,Nitrates,GTN,GISSI-3,,,,,,,,,,
Acute coronary syndromes,Nitrates,ISMN (MR),ISIS-4,,,,,,,,,,
Acute coronary syndromes,PCI (STEMI),PCI post-thrombolysis,NORDISTEMI,,,,,,,,,,
Acute coronary syndromes,PCI (STEMI),Thrombus aspiration,TAPAS,,,,,,,,,,
Acute coronary syndromes,PCI (UA/NSTEMI),PCI,TACTICS-TIMI-18,,,,,,,,,,
Acute coronary syndromes,PCI (UA/NSTEMI),PCI,RITA-3,,,,,,,,,,
Acute coronary syndromes,Statins,Atorvastatin,PROVE-IT,,,,,,,,,,
Acute coronary syndromes,Thrombolysis,Streptokinase,ISIS-2,,,,,,,,,,
Acute coronary syndromes,Thrombolysis,"Streptokinase, rtPA, Alterplase",ISIS-3,,,,,,,,,,
Acute coronary syndromes,Factor Xa inhibitors,Rivaroxaban,ATLAS-ACS-2-TIMI-51,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
