ROL, Name,City,State,Website,FREIDA,Address,Lat,Long,leaflet-marker-code,ACGME Number,PD,Email,Phone,Date Applied to,Specific Features,Letter of Interest Sent,Interview Invite,Interview Invite Date Decision,Travel?,Interview Date,Thank You Note Follow up,Thank you sent?,Email Follow up - Interest,Email Sent?,Location,Distance,Reputation,Research,Lifestyle,Teaching Emphasis,Gut Feel,ROL Score,Notes
1,University at Buffalo ,Buffalo,NY,[link],[link],"Univ at Buffalo Sch of Med
 Dept of Surgery Rm C-378
 100 High St
 Buffalo, NY 14203",42.90065,-78.865656,"L.marker([42.900651, -78.865656]).addTo(mymap).bindPopup('University at Buffalo Program').openPopup();",3099440C0,Dr. James Lukan MD,Jlukan@ecmc.edu,7168597756,09/20/2016,,,,10/4/2016,-,12/15/2016,,,,,10,0,6,6,8,5,8,43,10/4 - First Interview Invite!
0,Albany Medical Center ,Albany,NY,[link],[link],"Dept of Surgery MC 61
 47 New Scotland Ave
 Albany, NY 12208",42.65363,-73.776789,"L.marker([42.653632, -73.776789]).addTo(mymap).bindPopup('Albany Medical Center Program ').openPopup();",1414440C0,Todd Beyer MD,ganam@mail.amc.edu,5182625374,09/20/2016,,,,,,,,,,,7,0,0,0,0,0,0,7,
0,Allegheny Health Network Medical Education Consortium (AGH) ,Pittsburgh,PA,[link],[link],"Allegheny General Hosp
 General Surgery Pgm
 320 E North Ave
 Pittsburgh, PA 15212",40.45701,-80.003724,"L.marker([40.45701, -80.003724]).addTo(mymap).bindPopup('Allegheny Health Network Medical Education Consortium (AGH) Program ').openPopup();",1648440C0,James T. McCormick D.O.,michele.murphy@ahn.org,4123596907,09/20/2016,,,,,,,,,,,7,0,0,0,0,0,0,7,
0,Baylor College of Medicine ,Houston,TX,[link],[link],"Baylor Univ Med Ctr
 Ste 950
 3410 Worth St
 Dallas, TX 75246",32.78806,-96.778705,"L.marker([32.788064, -96.778705]).addTo(mymap).bindPopup('Baylor College of Medicine Program ').openPopup();",1716440C0,Dr. Bradford G. Scott MD,gsprograms@bcm.edu,7137986078,09/20/2016,,,,,,,,,,,7,0,0,0,0,0,0,7,
0,Beth Israel Deaconess Medical Center ,Boston,MA,[link],[link],"Beth Israel Deaconess Med Ctr
 LMOB 9B
 330 Brookline Ave
 Boston, MA 02215",42.33972,-71.105016,"L.marker([42.339715, -71.105016]).addTo(mymap).bindPopup('Beth Israel Deaconess Medical Center Program ').openPopup();",1256440C0,Tara S. Kent MD,rsampson@bidmc.harvard.edu,6176329236,09/20/2016,,,,,,,,,,,10,1,9,9,5,8,9,49,
0,Boston University Medical Center ,Boston,MA,[link],[link],"Boston Univ Med Ctr
 Surgery Pgm Rm C515
 88 E Newton St
 Boston, MA 02118",42.33702,-71.070589,"L.marker([42.337015, -71.070589]).addTo(mymap).bindPopup('Boston University Medical Center Program ').openPopup();",1257440C0,Dr. Donald T. Hess M.D.,lana.ketlere@bmc.org,6176388442,09/20/2016,,,,,,,,,,,9,1,0,0,5,8,0,21,
-99,Brigham and Women's Hospital ,Boston,MA,[link],[link],"Brigham and Women's Hosp
 CA-034
 75 Francis St
 Boston, MA 02115",42.33609,-71.106707,"L.marker([42.336089, -71.106707]).addTo(mymap).bindPopup('Brigham and Women's Hospital Program').openPopup();",1265440C0,"Douglas S. Smink MD, MPH",surgeryeducation@partners.org,6177326861,09/20/2016,-,-,No,10/24/2016,-,-,TODO,,,,10,1,9,10,4,9,7,48,"""Dear Applicant,

Thank you for your interest in the Brigham and Women's Hospital General Surgery Residency Program. 

We have reviewed all applicants and unfortunately, we are unable to grant you an interview for this season. 

We wish you the best of luck in the interview process and in your surgical career.


Sincerely,

Douglas S. Smink, MD, MPH
Program Director, BWH General Surgery Residency Program"""
0,Brooklyn Hospital Center ,Brooklyn,NY,[link],[link],"Brooklyn Hosp Ctr
 Dept of Surgery
 121 DeKalb Ave
 Brooklyn, NY 11201",40.69078,-73.977964,"L.marker([40.690775, -73.977964]).addTo(mymap).bindPopup('Brooklyn Hospital Center Program').openPopup();",1420440C0,Dr. Armand P. Asarian M.D.,blingley@tbh.org,7182506923,09/20/2016,,,,,,,,,,,8,1,0,0,0,0,0,7,
0,Brown University ,Providence,RI,[link],[link],"Rhode Island Hosp
 APC 4
 593 Eddy St
 Providence, RI 02903",41.81133,-71.411123,"L.marker([41.811328, -71.411123]).addTo(mymap).bindPopup('Brown University Program').openPopup();",1677440C0,David T. Harrington MD,PRichardson@lifespan.org,4014445180,09/20/2016,,,,,,,,,,,6,0,0,0,0,0,0,6,
0,Case Western Reserve University,Cleveland,OH,[link],[link],"Univ Hosps Case Med Ctr
 Dept of Surgery
 11100 Euclid Ave
 Cleveland, OH 44106",41.50618,-81.605017,"L.marker([41.506175, -81.605017]).addTo(mymap).bindPopup('Case Western Reserve University').openPopup();",1552440C0,Dr. Jeffrey Marks MD,charles.sullivan@UHhospitals.org,2168443027,09/20/2016,,,,,,,,,,,8,0,0,0,0,0,0,8,
